,plane_name,link
0,Airbus A220,/listing/csr-1.htm
1,Airbus A300,/listing/a300-1.htm
2,Airbus A310,/listing/a310-1.htm
3,Airbus A318,/listing/a318-1.htm
4,Airbus A319,/listing/a319-1.htm
5,Airbus A320,/listing/a320-1.htm
6,Airbus A321,/listing/a321-1.htm
7,Airbus A330,/listing/a330-1.htm
8,Airbus A340,/listing/a340-1.htm
9,Airbus A350,/listing/a350-1.htm
10,Airbus A380,/listing/a380-1.htm
11,ATR 42/72,/listing/atr-1.htm
12,BAe 146 / Avro RJ,/listing/bae146-1.htm
13,Beech 1900D,/listing/beh-1.htm
14,Boeing 717,/listing/b717-1.htm
15,Boeing 737,/listing/b737-1.htm
16,Boeing 737 Next Gen,/listing/b737ng-1.htm
17,Boeing 747,/listing/b747-1.htm
18,Boeing 757,/listing/b757-1.htm
19,Boeing 767,/listing/b767-1.htm
20,Boeing 777,/listing/b777-1.htm
21,Boeing 787,/listing/b787-1.htm
22,Canadair Regional Jet,/listing/crj-1.htm
23,Comac ARJ21,/listing/arj21-1.htm
24,Comac C919,/listing/c919-1.htm
25,Concorde,/listing/ssc-1.htm
26,Dash 8,/listing/dh8-1.htm
27,Embraer 120 Brasilia,/listing/e120-1.htm
28,Embraer 135/145,/listing/e145-1.htm
29,Embraer 170/175,/listing/e170-1.htm
30,Embraer 190/195,/listing/e190-1.htm
31,Fokker 50,/listing/f50-1.htm
32,Fokker 70/100,/listing/f100-1.htm
33,Iliouchine Il-96,/listing/il96-1.htm
34,Lockheed L-1011 TriStar,/listing/l10-1.htm
35,McDonnell Douglas DC-10,/listing/dc10-1.htm
36,McDonnell Douglas MD-11,/listing/md11-1.htm
37,McDonnell Douglas MD-80/90,/listing/md80-1.htm
38,Saab 2000,/listing/s20-1.htm
39,Saab 340,/listing/sf3-1.htm
40,Sukhoi SuperJet 100,/listing/ssj-1.htm
